Control_Count,Date_Replied,Status,Unique_identifier,Likely_to_recommend_Online_Site_MY_SITE,Purchased_from_Site_A,Purchased_from_Site_B,Purchased_from_Site_C,Purchased_from_Site_D,Purchased_from_Site_E,Purchased_from_Site_F,Purchased_from_Site_G,Purchased_from_Site_H,Purchased_from_Site_I,Purchased_from_Site_J,Purchased_from_Site_K,Purchased_from_Site_L,Purchased_from_Site_M,Purchased_from_Site_N,Purchased_from_Site_O,Purchased_from_Site_P,Purchased_from_Site_Q,Purchased_from_Site_R,Purchased_from_Site_S,Purchased_from_Site_T,Purchased_from_Site_U,Purchased_from_Site_V,Purchased_from_Site_W,Purchased_from_Site_X,Purchased_from_Site_Y,Purchased_from_MY_SITE_only,No_of_Online_Sites_used,MYSITE_Rank,Sales_reps_Responsiveness,Sales_reps_ease_of_making_contact,Sales_reps_general_attitude,Sales_reps_quotation,Sales_reps_relationship,Sales_reps_overall_satisfaction,Customer_service_Responsiveness,Customer_service_Ease_of_making_contact,Customer_service_general_attitude,Customer_service_Knowledge_of_business,Customer_service_issue_resolution,Customer_service_keeping_customers_informed,Customer_service_Overall_satisfaction,Delivery_on_time_schedules,Delivery_on_time_coverage,Delivery_on_time_keeping_customers_informed,Delivery_on_time_accuracy_transit_time,Delivery_on_time_availability_of_products,Delivery_on_time_speed,Delivery_on_time_Overall_satisfaction,Ease_of_business_booking,Ease_of_business_documentation,Ease_of_business_invoicing,Ease_of_business_online_system,Ease_of_business_overall_satisfaction,Improving_business_opps_knowledge_of_business,Improving_business_opps_understanding_of_needs,Improving_business_opps_demonstrating_opps,Improving_business_opps_specific_offers,Improving_business_opps_overall_satisfaction,Overall_Satisfaction_taking_everything_into_account,Proportion_of_purchase_made_with_MY_SITE,Future_proportion_of_purchase_made_at_MY_SITE
Day 1,08-07-2015,COMPLETED,1691116025774,4,,1,1,1,1,1,1,1,,,1,,,,,1,,,,,,,,,,,10,6,3,7,3,10,3,3,3,7,3,3,0,5,1,8,10,7,8,8,8,9,8,8,5,10,5,5,5,2,5,5,4,6% to 15%,Stay the same
Day 1,08-07-2015,COMPLETED,2001116011707,5,,,,,,1,,1,,,,,,,1,,,,,1,,,,,,,5,2,99,99,99,99,99,99,7,8,7,7,7,5,7,7,9,8,7,7,6,7,99,6,99,3,5,99,99,99,99,99,6,51% to 75%,Decrease
Day 1,08-07-2015,COMPLETED,1181116027207,2,1,1,1,,1,,1,1,1,1,1,,,1,1,1,1,1,,,1,,1,1,,,18,,10,10,10,6,10,10,,,,,,,,10,10,10,9,8,10,10,8,8,3,8,2,10,10,10,10,10,2,1% to 5%,Stay the same
Day 1,08-07-2015,COMPLETED,1531116012494,5,,1,,,,,,,,,,,,,1,,,,1,1,,,,1,,,6,1,3,5,8,3,7,5,3,5,1,4,3,1,1,7,8,4,7,8,8,7,9,,7,7,6,4,5,3,5,3,6,26% to 50%,Decrease
Day 1,08-07-2015,COMPLETED,1801116032117,10,,1,,,,,,,1,,1,,,,1,,1,,,,,,,1,,,7,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1% to 5%,Increase
Day 1,08-07-2015,COMPLETED,1071116014034,10,,1,,,,,1,,1,,1,,,,,,1,,,,,,1,,,,7,1,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,26% to 50%,Increase
Day 1,08-07-2015,COMPLETED,1621116008694,0,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,5,4,1,1,5,1,99,1,1,1,4,1,1,1,2,1,7,1,1,1,0,2,,1,0,1,1,1,1,99,99,99,1,1% to 5%,Decrease
Day 1,09-07-2015,COMPLETED,1841116008818,4,,1,,,,,,,,,,,,,1,,,,,,,,,,,,3,1,7,6,8,6,7,8,8,8,8,7,8,9,8,8,10,7,8,7,8,8,10,10,7,6,7,8,7,8,7,8,8,26% to 50%,Increase
Day 1,08-07-2015,COMPLETED,1681116021147,6,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,5,4,8,8,8,8,9,8,8,8,8,8,7,7,8,8,9,9,8,6,8,8,8,8,9,9,8,8,8,7,7,7,7,26% to 50%,Decrease
Day 1,08-07-2015,COMPLETED,1301116032661,10,,1,,,,,,,1,,,,,,,,,,,,,,,,,,3,1,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51% to 75%,Stay the same
Day 1,08-07-2015,COMPLETED,1121116033695,3,1,1,1,,1,1,1,1,1,1,1,,,1,,1,1,,1,,,,1,1,,,17,10,99,99,99,99,99,99,6,4,5,5,4,4,6,,5,5,5,5,5,5,99,99,99,0,5,99,99,99,99,99,4,Don’t know,Don’t know
Day 1,08-07-2015,COMPLETED,1121116016437,4,1,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,1,,,1,,,16,10,5,5,5,7,99,6,0,0,3,5,3,0,1,5,7,1,2,1,5,2,1,1,0,2,1,99,8,99,7,7,2,51% to 75%,Decrease
Day 1,08-07-2015,COMPLETED,1891116031013,7,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,4,3,2,9,9,9,9,9,2,10,10,10,4,5,8,8,8,8,8,8,8,8,99,99,8,99,9,8,8,7,6,,7,6% to 15%,Don’t know
Day 1,08-07-2015,COMPLETED,1111116007968,3,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,5,5,4,4,9,1,4,6,2,9,4,1,0,0,2,10,10,4,10,6,10,6,5,9,0,4,6,3,2,3,3,3,5,26% to 50%,Decrease
Day 1,08-07-2015,COMPLETED,1571116016692,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Increase
Day 1,08-07-2015,COMPLETED,1531116037455,2,,1,,,1,,,1,1,,,,,,1,,,,,,1,,,,,,7,6,3,3,4,99,3,3,3,3,3,3,1,3,2,7,7,6,2,1,2,3,4,2,1,1,2,2,3,3,1,2,2,26% to 50%,Decrease
Day 1,08-07-2015,COMPLETED,1151116006902,9,,1,,,1,,,1,,,,,,,1,,,,1,,,,,,1,,7,1,6,6,9,6,6,8,8,5,8,8,7,8,8,9,9,10,8,8,9,9,7,8,7,8,9,9,6,9,9,8,8,76% to 99%,Increase
Day 1,08-07-2015,COMPLETED,1331116004808,4,,1,1,,1,1,,,,,,,,,1,,,,,,1,,,,,,7,3,7,7,9,0,9,9,9,7,9,9,9,8,8,7,7,6,7,4,7,7,7,7,2,5,4,9,9,9,9,9,6,16% to 25%,Increase
Day 1,08-07-2015,COMPLETED,1751116005290,2,1,1,1,,,1,,1,,,1,,,1,1,,1,,,,,,1,1,,,12,4,99,1,99,99,99,99,6,4,8,6,4,,6,99,99,99,99,99,99,99,99,5,0,4,4,99,99,99,99,99,4,Don’t know,Stay the same
Day 1,08-07-2015,COMPLETED,1761116004579,5,,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,5,5,10,10,10,6,10,9,8,9,10,8,9,8,8,10,10,10,10,10,10,10,7,3,1,0,0,10,10,5,8,2,6,6% to 15%,Increase
Day 1,08-07-2015,COMPLETED,1651116004015,7,1,1,1,,,1,1,,1,,1,,,,1,,,,,,,,,,,,9,6,99,99,99,99,99,99,8,99,9,5,8,5,9,9,9,8,9,9,9,9,8,9,9,9,9,99,99,99,99,99,8,Don’t know,Don’t know
Day 1,08-07-2015,COMPLETED,1711116021578,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,10,10,10,10,10,8,10,9,5,8,5,8,10,10,5,3,8,5,6,10,10,10,10,10,6,7,8,8,7,8,,Increase
Day 1,08-07-2015,COMPLETED,1511116027236,8,,1,1,,1,1,,,,,1,,,,,,,,,,,,,,,,6,3,5,5,7,10,5,7,10,3,10,9,3,99,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,16% to 25%,Stay the same
Day 1,08-07-2015,COMPLETED,1051116008043,6,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,4,2,0,0,5,2,0,0,0,0,0,0,2,4,0,9,10,0,10,7,10,5,9,9,99,6,9,5,6,8,6,6,5,51% to 75%,Decrease
Day 1,08-07-2015,COMPLETED,1231116007674,7,1,,,1,,1,1,,1,,,,,,1,1,,,,,,,,,,,9,8,2,2,2,2,2,2,2,1,2,1,1,7,2,8,9,8,9,7,9,9,99,7,7,9,8,3,3,3,3,3,7,16% to 25%,Increase
Day 1,08-07-2015,COMPLETED,1031116007484,2,,1,,1,,,1,,1,,,,,1,1,1,,,,,,,,,1,,10,6,1,2,6,5,5,3,6,2,6,0,1,3,1,6,5,4,7,7,7,5,0,0,0,6,0,99,99,99,99,99,3,26% to 50%,Prefer not to say
Day 1,08-07-2015,COMPLETED,1831116015954,5,1,1,1,1,1,1,1,,1,1,,,,1,1,,,,,,,,,,,,12,8,7,8,8,6,8,8,7,7,7,6,6,6,7,7,9,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,1% to 5%,Increase
Day 1,08-07-2015,COMPLETED,1641116021388,8,,1,1,,,1,1,1,1,1,1,,,1,1,1,,,1,,1,1,1,1,,,18,3,7,7,7,7,7,8,7,7,7,7,7,7,8,7,7,7,7,7,7,8,7,7,7,5,8,7,7,7,7,8,8,Prefer not to say,Increase
Day 1,08-07-2015,COMPLETED,1681116013218,8,,1,,,,,1,,1,,,,,1,1,1,1,1,,1,,,,,,,10,1,10,10,10,10,10,10,10,10,10,10,10,9,10,9,9,7,8,8,9,9,7,8,4,99,6,10,10,99,10,10,9,Prefer not to say,Prefer not to say
Day 1,08-07-2015,COMPLETED,1931116023937,5,,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,5,3,3,4,8,4,1,3,8,5,8,5,2,8,8,9,8,5,9,9,9,9,8,8,1,8,8,2,2,2,2,2,7,51% to 75%,Increase
Day 1,08-07-2015,COMPLETED,1621116013034,5,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,,,,,1,1,,,17,3,6,7,7,6,7,7,7,7,8,8,7,9,9,6,6,6,6,7,5,6,9,8,8,8,8,7,6,8,6,,8,26% to 50%,Increase
Day 1,08-07-2015,COMPLETED,1231116031792,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,7,7,99,7,7,8,8,8,7,7,7,8,8,7,7,7,8,8,7,99,8,8,8,8,5,99,99,5,5,7,Prefer not to say,Prefer not to say
Day 1,08-07-2015,COMPLETED,1171116003700,9,,1,1,,1,,1,,1,1,,,,1,1,1,,,1,,,,,,,,12,1,9,9,9,9,9,9,7,7,7,8,7,8,7,7,9,8,8,6,7,8,9,9,7,9,8,9,8,9,9,9,8,26% to 50%,Increase
Day 1,08-07-2015,COMPLETED,1941116035284,8,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,,1,,1,,,20,4,7,5,9,9,9,8,5,5,9,7,8,6,8,10,10,9,8,8,8,9,7,8,8,6,8,9,7,7,10,7,9,26% to 50%,Increase
Day 1,08-07-2015,COMPLETED,1641116028466,10,,,,,,,,,,,,,,,1,,,,,,,,,,1,,3,1,10,10,10,10,10,10,10,10,10,10,10,8,10,9,9,8,8,8,9,9,10,10,9,9,9,9,9,9,9,9,9,76% to 99%,Increase
Day 1,08-07-2015,COMPLETED,1641116029663,7,,1,,1,1,1,1,1,1,,,,,1,1,1,,,1,1,1,,,1,,,15,6,6,6,7,6,6,7,6,7,8,6,6,6,8,5,7,5,6,6,3,5,6,6,2,6,5,6,6,6,6,6,7,Prefer not to say,Prefer not to say
Day 1,08-07-2015,COMPLETED,1701116021474,6,,1,1,,,1,1,1,1,,1,,,1,1,1,,1,1,,,,,1,1,,16,3,7,5,6,99,6,6,7,5,8,7,6,99,7,99,7,6,99,7,99,99,99,6,5,4,6,99,99,99,99,99,7,Don’t know,Stay the same
Day 1,08-07-2015,COMPLETED,1851116031642,10,,1,,,1,1,,1,1,,,,,,1,,,,,,,,,,,,7,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51% to 75%,Increase
Day 1,08-07-2015,COMPLETED,1721116035587,6,1,1,1,,,1,1,,1,,,,,,,1,,,,,,,,,,,9,3,9,10,8,8,9,10,6,9,5,6,5,5,6,7,9,7,8,9,8,9,9,8,5,9,8,8,7,8,7,7,7,51% to 75%,Increase
Day 1,08-07-2015,COMPLETED,1461116023725,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,2,4,99,4,6,0,4,3,7,4,3,1,10,10,2,7,,7,8,4,3,3,9,7,8,4,5,8,6,6,Don’t know,Increase
Day 1,08-07-2015,COMPLETED,1351116006203,5,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,4,2,99,99,99,99,99,6,6,99,6,99,6,6,6,7,7,7,7,7,7,7,99,8,8,10,99,99,99,99,99,99,6,6% to 15%,Don’t know
Day 1,08-07-2015,COMPLETED,1091116003354,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26% to 50%,Decrease
Day 1,08-07-2015,COMPLETED,2001116009597,4,1,1,,,,,1,,1,,,,,,1,1,,,,,,1,,1,,,9,4,4,5,7,5,5,5,3,6,4,4,4,4,4,5,6,4,6,6,6,6,7,7,3,7,6,4,4,5,4,4,5,26% to 50%,Increase
Day 1,08-07-2015,COMPLETED,1691116026022,0,1,1,1,,1,1,,1,1,1,1,,,1,1,1,1,,,,1,,1,1,,,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prefer not to say,Decrease
Day 1,08-07-2015,COMPLETED,1781116021892,4,1,1,,,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,,,,,15,4,7,8,8,8,8,8,4,6,7,7,4,6,6,9,9,9,8,7,8,8,10,9,8,9,9,9,8,7,7,8,6,16% to 25%,Stay the same
Day 1,08-07-2015,COMPLETED,1311116022816,0,,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,5,5,0,0,1,0,0,0,1,1,1,1,1,1,1,99,99,0,5,99,0,0,5,5,5,99,0,1,1,1,1,1,1,Prefer not to say,Prefer not to say
Day 1,08-07-2015,COMPLETED,1811116038017,9,,1,1,,,,1,,,,,,,,1,1,,,,,,,1,,,,8,1,9,99,9,99,9,9,9,9,9,99,9,9,9,8,8,9,9,9,9,9,9,9,99,9,9,99,99,99,99,99,9,26% to 50%,Stay the same
Day 1,08-07-2015,COMPLETED,1891116037556,0,,1,,,,,1,,1,,,,,,1,,1,,,,,,,,,,7,,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,1,3,1,1,3,3,0,4,0,0,0,0,0,0,0,Prefer not to say,Decrease
Day 1,08-07-2015,COMPLETED,1721116017824,6,1,1,,,,,,1,1,,1,1,,,,1,1,,1,,1,,,,,,11,1,6,7,7,99,7,7,4,7,6,6,6,7,6,10,9,8,8,8,8,10,10,9,10,10,8,7,7,5,5,5,7,26% to 50%,Stay the same
Day 1,08-07-2015,COMPLETED,1871116024792,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,2,0,0,1,99,1,0,1,0,1,2,1,6,1,9,9,3,2,6,3,3,99,5,99,8,4,2,,2,2,2,2,16% to 25%,Stay the same
Day 1,08-07-2015,COMPLETED,1821116029685,8,,1,,1,,,1,,,,,,,1,1,1,,,,,,,,,1,,8,5,8,7,7,7,8,7,8,7,,8,8,7,7,8,8,8,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,16% to 25%,Increase
Day 1,08-07-2015,COMPLETED,1261116011772,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,2,1,,1,1,1,1,6,7,6,6,5,4,4,9,10,9,8,9,9,,5,4,2,3,4,1,,1,1,1,6,6% to 15%,Stay the same
Day 1,08-07-2015,COMPLETED,1351116031410,10,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,4,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,99,9,9,9,9,9,9,9,9,9,10,76% to 99%,Increase
Day 1,08-07-2015,COMPLETED,1159816000288,5,1,1,1,,,1,1,,1,,,,,,,,1,,1,1,,,1,,,,11,3,10,10,8,8,9,8,9,9,9,9,9,9,9,10,10,9,10,7,8,10,10,10,10,10,10,9,10,9,9,9,9,1% to 5%,Don’t know
Day 1,08-07-2015,COMPLETED,1221116015738,9,,1,,,,,,,,,1,,,1,1,,,1,1,,,,,,,,7,1,10,10,10,10,10,10,10,9,9,10,9,9,9,10,99,10,10,99,,7,99,10,9,9,9,9,99,99,99,99,9,Don’t know,Increase
Day 1,08-07-2015,COMPLETED,1451116008517,8,,,,,,,1,,1,,,,,,,,,,,,,,,,,,4,1,8,9,9,6,10,8,9,9,9,9,7,9,9,9,9,9,9,9,9,9,8,9,8,6,8,8,8,8,6,7,8,76% to 99%,Prefer not to say
Day 1,08-07-2015,COMPLETED,1851116004026,4,,1,,,,1,1,,1,,,,,,1,,,1,,,,,,1,,,8,5,5,2,5,3,9,3,2,6,2,2,5,5,4,99,99,99,99,99,99,99,5,5,5,5,2,99,99,99,99,99,2,Prefer not to say,Decrease
Day 1,08-07-2015,COMPLETED,1941116012996,7,,1,,,,1,,,,,,,,1,1,,,1,1,,,,,,1,,8,4,8,8,8,6,8,8,6,5,5,5,6,6,5,6,9,8,7,8,6,7,10,8,6,10,9,7,6,7,7,7,8,6% to 15%,Increase
Day 1,08-07-2015,COMPLETED,1251116003399,5,,,,,1,1,1,1,1,,1,,,,1,,,,,,,,,1,,,9,3,6,8,8,7,8,8,7,7,7,7,7,7,7,7,8,6,8,7,8,8,6,6,9,7,7,8,8,7,7,7,7,26% to 50%,Stay the same
Day 1,08-07-2015,COMPLETED,1351116027552,10,,1,,,,,,,,,,,,,1,,,,1,,,,,,1,,5,2,8,9,9,9,9,9,10,10,8,9,10,10,10,10,10,10,5,10,10,6,,10,10,10,10,8,8,8,9,9,9,51% to 75%,Increase
Day 1,08-07-2015,COMPLETED,1491116035504,4,,1,1,,1,1,1,1,1,1,1,,,1,1,1,,,,,,1,,,,,14,13,1,1,3,1,4,1,0,0,2,1,0,0,0,99,10,0,,99,1,2,7,99,99,7,5,99,5,99,1,0,2,1% to 5%,Prefer not to say
Day 1,08-07-2015,COMPLETED,1241116004320,2,1,1,1,1,1,1,1,1,1,1,,,,1,1,,1,,,,,,,1,,,16,4,4,3,4,3,4,3,9,4,8,5,4,10,8,99,99,10,9,8,3,7,6,6,0,7,3,8,4,99,5,5,3,26% to 50%,Don’t know
Day 1,08-07-2015,COMPLETED,1301116013292,9,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,5,1,9,9,9,9,8,9,8,9,9,8,7,8,8,9,9,8,9,9,9,9,8,8,8,8,8,10,9,9,9,9,9,51% to 75%,Stay the same
Day 1,08-07-2015,COMPLETED,1761116007371,8,,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,,19,4,4,4,5,5,5,4,4,4,5,6,4,5,5,8,9,8,9,9,8,8,8,9,9,9,9,5,5,5,5,5,7,16% to 25%,Don’t know
Day 1,08-07-2015,COMPLETED,1041116005838,10,,1,,,,1,1,,,1,1,,,,1,1,,,,,,,,,,,8,2,8,8,8,8,8,8,8,9,8,8,7,8,9,9,9,9,8,9,9,8,9,9,9,9,9,8,8,8,8,8,8,Don’t know,Increase
Day 1,08-07-2015,COMPLETED,1381116030848,9,1,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,6,2,8,9,9,8,8,9,9,9,9,9,9,8,9,9,9,8,10,9,10,10,8,9,9,8,9,8,9,9,8,9,9,16% to 25%,Increase
Day 1,08-07-2015,COMPLETED,1251116008368,7,,1,,,,,1,,1,,,,,1,1,,,,1,,,,,,,,7,2,99,99,99,99,99,99,7,9,9,8,8,7,8,99,99,99,99,99,99,99,99,8,99,8,7,8,8,7,7,7,7,Don’t know,Increase
Day 1,08-07-2015,COMPLETED,1761116001428,8,1,1,1,,1,,,,1,,,,,1,1,1,1,1,,,,,,,,,11,8,7,7,7,7,7,,7,7,7,7,7,7,7,8,7,8,8,8,7,,7,7,6,,7,7,7,7,7,7,8,51% to 75%,Prefer not to say
Day 1,08-07-2015,COMPLETED,1521116027931,0,,1,,,1,1,,,,1,,,,,1,,,,,,,,,1,,,7,2,99,99,9,0,9,99,99,99,99,99,10,99,99,4,99,0,3,4,6,3,99,99,99,99,99,99,99,99,99,99,3,51% to 75%,Don’t know
Day 1,08-07-2015,COMPLETED,1831116036077,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,4,1,0,1,1,0,1,0,6,6,0,0,1,0,0,10,10,2,7,10,,7,10,7,10,10,1,2,1,1,1,1,6,51% to 75%,Decrease
Day 1,08-07-2015,COMPLETED,1631116023288,8,,1,,,1,1,1,1,1,,1,,,,,1,,,,,,,,,,,9,3,9,9,9,9,9,9,8,8,8,8,8,6,8,8,9,8,7,7,7,8,8,7,7,8,7,9,9,9,9,9,8,6% to 15%,Increase
Day 1,08-07-2015,COMPLETED,1181116006586,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,99,99,9,8,99,9,8,99,8,8,9,,Stay the same
Day 1,08-07-2015,COMPLETED,1391116014837,9,,1,,,1,,1,,1,,,,,,1,1,,,,,,,,1,,,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16% to 25%,Stay the same
Day 1,08-07-2015,COMPLETED,1281116034880,10,,1,,,1,1,1,,1,,1,,,,1,1,1,,,1,1,,,,,,12,1,9,9,9,9,10,9,8,8,8,8,8,8,8,7,8,8,7,8,7,8,9,9,9,9,9,8,8,8,8,8,8,6% to 15%,Stay the same
Day 1,08-07-2015,COMPLETED,1921116012909,0,,1,,1,,,1,,1,,,,,,1,,1,,,,,,,,,,7,,99,99,99,99,99,99,5,99,5,7,0,8,0,99,99,0,,99,5,5,99,0,0,0,0,5,99,5,,5,0,26% to 50%,Prefer not to say
Day 1,08-07-2015,COMPLETED,1011116004781,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,7,7,7,7,6,3,7,,7,8,8,8,8,7,8,8,8,8,7,7,8,8,8,7,7,6,,Decrease
Day 1,08-07-2015,COMPLETED,1701116013077,4,,1,,,,1,1,,1,,,,,1,1,1,,,,,1,,,,1,,10,3,4,7,5,5,4,5,2,3,3,3,1,1,2,8,7,5,5,8,4,5,8,4,8,6,7,7,7,4,5,6,4,16% to 25%,Decrease
Day 1,08-07-2015,COMPLETED,1041116003931,0,,,,,,1,,,,,,,,,,,,,,,,,,,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,1,10,10,0,5,5,0,0,1,0,0,0,0,0,0,0,26% to 50%,Decrease
Day 1,08-07-2015,COMPLETED,1951116022755,3,1,1,1,,1,1,1,1,1,1,,,,1,1,1,1,,1,,1,,1,1,,,19,,10,9,10,0,10,9,9,,10,9,1,2,9,8,9,8,8,8,,8,,5,0,9,0,10,10,10,9,9,2,26% to 50%,Decrease
Day 1,08-07-2015,COMPLETED,1651116016056,9,1,1,1,,,,,1,1,1,,,,1,1,1,1,,,,,,1,1,,,14,,10,8,8,5,10,10,5,1,9,8,5,1,5,3,9,5,5,6,3,99,8,8,8,8,8,99,10,10,99,10,7,1% to 5%,Don’t know
Day 1,09-07-2015,COMPLETED,1911116003574,10,,1,,,,1,,,,,,,,,,,,,,,1,1,1,,,,6,3,9,8,9,8,9,9,9,9,9,8,9,9,9,9,9,8,9,9,8,9,10,8,6,8,8,9,8,8,8,8,8,26% to 50%,Increase
Day 1,08-07-2015,COMPLETED,1791116027753,5,,1,,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,,11,4,9,8,9,,8,8,6,6,8,0,6,0,6,9,9,8,9,9,9,9,9,8,7,10,8,0,0,4,0,0,7,16% to 25%,Don’t know
Day 1,08-07-2015,COMPLETED,1501116027831,5,,1,,,,,,,,,,,,,,,,,,,,,,,1,,3,2,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,6,5,5,5,5,7,6,10,6,99,99,99,99,99,5,Don’t know,Prefer not to say
Day 1,08-07-2015,COMPLETED,1509816000318,6,,1,1,,,,,,,,,,,,1,,1,,,,,,,1,,,6,,9,9,9,9,8,9,4,4,4,7,4,0,4,7,9,5,6,1,7,5,7,7,10,7,5,9,9,9,9,9,7,,Don’t know
Day 1,08-07-2015,COMPLETED,1291116007836,7,,1,,,1,1,,,,,,,,,1,,,,,,,,,1,,,6,,,,,8,,,10,9,9,8,9,1,8,6,9,7,8,7,7,7,9,9,9,7,8,,,,,,8,26% to 50%,Stay the same
Day 1,08-07-2015,COMPLETED,1011116007242,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,3,3,99,99,99,99,99,99,99,1,1,99,0,1,1,99,99,1,1,1,1,1,1,1,5,1,1,99,99,99,99,99,2,1% to 5%,Decrease
Day 1,08-07-2015,COMPLETED,1261116016699,5,,1,,,,,,,,,,,,,1,,,1,1,,,,,,1,,6,3,1,1,1,4,1,1,1,1,1,1,0,1,1,6,5,2,9,5,9,7,6,6,6,7,6,10,0,5,1,1,1,1% to 5%,Decrease
Day 1,08-07-2015,COMPLETED,1501116024029,8,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,4,1,10,10,10,10,10,10,5,5,10,9,10,10,8,10,10,10,7,10,8,9,10,10,99,10,10,10,10,10,10,10,9,51% to 75%,Increase
Day 1,08-07-2015,COMPLETED,1021116012472,8,1,1,1,,,,1,,1,,,,,1,,1,1,1,,,,,,,,,10,1,8,7,7,6,7,7,7,7,8,6,7,7,7,8,8,7,8,8,8,8,8,6,2,9,8,7,6,6,7,6,7,26% to 50%,Decrease
Day 1,08-07-2015,COMPLETED,1861116002258,5,1,1,1,,1,1,,1,1,,,,,,,1,1,,,,,1,1,,,,12,5,10,10,10,8,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,9,9,9,9,9,8,Prefer not to say,Prefer not to say
Day 1,08-07-2015,COMPLETED,1151116024160,10,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,9,9,9,9,9,9,10,10,10,10,10,10,10,9,9,9,9,9,9,9,99,9,99,10,9,99,99,99,99,99,9,Don’t know,Stay the same
Day 1,08-07-2015,COMPLETED,1181116033547,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,9,9,10,9,9,9,9,9,9,9,9,7,8,9,9,9,99,7,8,,8,9,8,9,9,9,8,8,99,9,8,51% to 75%,Stay the same
Day 1,08-07-2015,COMPLETED,2001116003460,7,1,1,,1,,1,1,,1,,,,,,1,,,,,,,,,1,,,9,5,99,6,99,6,6,6,9,9,9,9,9,7,9,7,8,8,8,99,7,8,8,99,99,9,8,99,99,99,99,99,8,16% to 25%,Stay the same
Day 1,08-07-2015,COMPLETED,1501116012047,10,1,1,1,,,1,,1,1,1,,1,,1,,1,1,,1,,,1,1,,,,15,2,10,10,10,10,10,10,9,9,9,9,9,9,9,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,1% to 5%,Increase
Day 1,08-07-2015,COMPLETED,1241116039466,9,,1,,,1,,,,1,,,,,,,1,,,,,,,,,,,5,2,5,7,8,99,8,7,7,7,8,6,8,6,7,8,8,7,6,7,5,8,7,8,8,8,8,7,6,6,6,6,8,26% to 50%,Prefer not to say
